Epoch,loss,accuracy,val_loss,val_accuracy
1,0.3492937982082367,0.8940277695655823,0.15834282338619232,0.9524999856948853
2,0.11282263696193695,0.9666666388511658,0.14480391144752502,0.9549999833106995
3,0.05445118620991707,0.98416668176651,0.15096049010753632,0.9587500095367432
4,0.027481485158205032,0.9930555820465088,0.15435808897018433,0.9612500071525574
